cluster_id,rdtpos
80201_1,0.0824742268041
80202_1,0.244094488189
80202_10,0.480569948187
80202_2,0.386574074074
80202_3,0.289099526066
80202_4,0.466666666667
80202_5,0.406137184116
80202_6,0.362292051756
80202_7,0.443868739206
80202_8,0.317813765182
80202_9,0.409836065574
80203_10,0.196078431373
80203_2,0.489932885906
80203_3,0.183833116037
80203_4,0.214285714286
80203_5,0.162337662338
80203_6,0.29179331307
80203_7,0.217741935484
80203_8,0.490347490347
80203_9,0.157894736842
80204_1,0.296703296703
80204_10,0.373831775701
80204_2,0.267175572519
80204_3,0.403225806452
80204_4,0.348484848485
80204_5,0.271676300578
80204_6,0.456790123457
80204_7,0.490566037736
80204_8,0.298076923077
80204_9,0.465346534653
80206_1,0.00699300699301
80206_2,0.0375
80206_3,0.0077519379845
80206_4,0.0267857142857
80206_5,0.0242718446602
80206_6,0.0201729106628
80206_7,0.0133333333333
80207_1,0.0484581497797
80207_10,0.0313479623824
80207_2,0.0103092783505
80207_4,0.0147058823529
80207_5,0.0182481751825
80207_6,0.029702970297
80207_7,0.0701298701299
80207_8,0.0339805825243
80207_9,0.0184426229508
80208_8,0.4375
80209_1,0.0689655172414
80209_10,0.0481695568401
80209_2,0.200164068909
80209_3,0.0836298932384
80209_4,0.0875
80209_5,0.0902474526929
80209_6,0.394566623545
80209_7,0.378431372549
80209_8,0.204506065858
80209_9,0.136246786632
80211_1,0.45251396648
80211_2,0.261603375527
80211_3,0.521739130435
80211_4,0.427104722793
80211_5,0.447031431898
80211_6,0.351931330472
80211_7,0.307881773399
80211_8,0.406181015453
81102_1,0.514824797844
81102_2,0.255591054313
81102_3,0.405579399142
81102_4,0.277108433735
81102_5,0.55737704918
81102_6,0.477419354839
81102_7,0.299319727891
81102_8,0.265734265734
81102_9,0.463768115942
81111_1,0.275700934579
81111_2,0.330110497238
81111_3,0.236074270557
81111_4,0.336771531717
81111_5,0.269552012149
81111_6,0.395953757225
81111_7,0.284399224806
81111_8,0.386845039019
81114_1,0.204976303318
81114_2,0.185840707965
81114_3,0.174840085288
81114_4,0.122009569378
81114_5,0.224669603524
81114_6,0.0961538461538
81114_7,0.09375
